workerProvidedMaterials,workerProvidedEquipment,workerUsedVehicle,workerHadOtherExpenses,expensesAreNotRelevantForRole,workerMainIncome,paidForSubstandardWork,result
true,,,,,,,OUTOFIR35
,true,,,,,,OUTOFIR35
,,true,true,,,,OUTOFIR35
,,true,,,incomeCalendarPeriods,outsideOfHoursNoCharge,OUTOFIR35
,,,true,,incomeCalendarPeriods,outsideOfHoursNoCharge,OUTOFIR35
,,,,true,incomeCalendarPeriods,outsideOfHoursNoCharge,MEDIUM
,,true,,,incomeFixed,outsideOfHoursNoCharge,OUTOFIR35
,,,true,,incomeFixed,outsideOfHoursNoCharge,OUTOFIR35
,,,,true,incomeFixed,outsideOfHoursNoCharge,OUTOFIR35
,,true,,,incomePieceRate,outsideOfHoursNoCharge,OUTOFIR35
,,,true,,incomePieceRate,outsideOfHoursNoCharge,OUTOFIR35
,,,,true,incomePieceRate,outsideOfHoursNoCharge,MEDIUM
,,true,,,incomeCommission,outsideOfHoursNoCharge,OUTOFIR35
,,,true,,incomeCommission,outsideOfHoursNoCharge,OUTOFIR35
,,,,true,incomeCommission,outsideOfHoursNoCharge,MEDIUM
,,true,,,incomeProfitOrLosses,outsideOfHoursNoCharge,OUTOFIR35
,,,true,,incomeProfitOrLosses,outsideOfHoursNoCharge,OUTOFIR35
,,,,true,incomeProfitOrLosses,outsideOfHoursNoCharge,OUTOFIR35
,,true,,,incomeCalendarPeriods,outsideOfHoursNoCosts,MEDIUM
,,,true,,incomeCalendarPeriods,outsideOfHoursNoCosts,MEDIUM
,,,,true,incomeCalendarPeriods,outsideOfHoursNoCosts,LOW
,,true,,,incomeFixed,outsideOfHoursNoCosts,MEDIUM
,,,true,,incomeFixed,outsideOfHoursNoCosts,MEDIUM
,,,,true,incomeFixed,outsideOfHoursNoCosts,LOW
,,true,,,incomePieceRate,outsideOfHoursNoCosts,MEDIUM
,,,true,,incomePieceRate,outsideOfHoursNoCosts,MEDIUM
,,,,true,incomePieceRate,outsideOfHoursNoCosts,LOW
,,true,,,incomeCommission,outsideOfHoursNoCosts,MEDIUM
,,,,true,incomeCommission,outsideOfHoursNoCosts,MEDIUM
,,true,,,incomeProfitOrLosses,outsideOfHoursNoCosts,OUTOFIR35
,,,,true,incomeProfitOrLosses,outsideOfHoursNoCosts,MEDIUM
,,true,,,incomeCalendarPeriods,asPartOfUsualRateInWorkingHours,MEDIUM
,,,true,,incomeCalendarPeriods,asPartOfUsualRateInWorkingHours,MEDIUM
,,,,true,incomeCalendarPeriods,asPartOfUsualRateInWorkingHours,LOW
,,true,,,incomeFixed,asPartOfUsualRateInWorkingHours,MEDIUM
,,,true,,incomeFixed,asPartOfUsualRateInWorkingHours,MEDIUM
,,,,true,incomeFixed,asPartOfUsualRateInWorkingHours,LOW
,,true,,,incomePieceRate,asPartOfUsualRateInWorkingHours,MEDIUM
,,,true,,incomePieceRate,asPartOfUsualRateInWorkingHours,MEDIUM
,,,,true,incomePieceRate,asPartOfUsualRateInWorkingHours,LOW
,,true,,,incomeCommission,asPartOfUsualRateInWorkingHours,MEDIUM
,,,,true,incomeCommission,asPartOfUsualRateInWorkingHours,LOW
,,true,,,incomeProfitOrLosses,asPartOfUsualRateInWorkingHours,MEDIUM
,,,,true,incomeProfitOrLosses,asPartOfUsualRateInWorkingHours,MEDIUM
,,true,,,incomeCalendarPeriods,cannotBeCorrected,MEDIUM
,,,true,,incomeCalendarPeriods,cannotBeCorrected,MEDIUM
,,,,true,incomeCalendarPeriods,cannotBeCorrected,LOW
,,true,,,incomeFixed,cannotBeCorrected,MEDIUM
,,,true,,incomeFixed,cannotBeCorrected,MEDIUM
,,,,true,incomeFixed,cannotBeCorrected,MEDIUM
,,true,,,incomePieceRate,cannotBeCorrected,MEDIUM
,,,true,,incomePieceRate,cannotBeCorrected,MEDIUM
,,,,true,incomePieceRate,cannotBeCorrected,LOW
,,true,,,incomeCommission,cannotBeCorrected,MEDIUM
,,,,true,incomeCommission,cannotBeCorrected,MEDIUM
,,true,,,incomeProfitOrLosses,cannotBeCorrected,MEDIUM
,,,,true,incomeProfitOrLosses,cannotBeCorrected,MEDIUM
,,true,,,incomeCalendarPeriods,noObligationToCorrect,MEDIUM
,,,true,,incomeCalendarPeriods,noObligationToCorrect,MEDIUM
,,,,true,incomeCalendarPeriods,noObligationToCorrect,LOW
,,true,,,incomeFixed,noObligationToCorrect,MEDIUM
,,,true,,incomeFixed,noObligationToCorrect,MEDIUM
,,,,true,incomeFixed,noObligationToCorrect,LOW
,,true,,,incomePieceRate,noObligationToCorrect,MEDIUM
,,,true,,incomePieceRate,noObligationToCorrect,MEDIUM
,,,,true,incomePieceRate,noObligationToCorrect,LOW
,,true,,,incomeCommission,noObligationToCorrect,MEDIUM
,,,,true,incomeCommission,noObligationToCorrect,LOW
,,true,,,incomeProfitOrLosses,noObligationToCorrect,MEDIUM
,,,,true,incomeProfitOrLosses,noObligationToCorrect,LOW
,,,true,,incomeCommission,outsideOfHoursNoCosts,MEDIUM
,,,true,,incomeCommission,asPartOfUsualRateInWorkingHours,LOW
,,,true,,incomeCommission,cannotBeCorrected,MEDIUM
,,,true,,incomeCommission,noObligationToCorrect,MEDIUM
,,,true,,incomeProfitOrLosses,outsideOfHoursNoCosts,MEDIUM
,,,true,,incomeProfitOrLosses,asPartOfUsualRateInWorkingHours,LOW
,,,true,,incomeProfitOrLosses,cannotBeCorrected,MEDIUM
,,,true,,incomeProfitOrLosses,noObligationToCorrect,MEDIUM